Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
54,2,True,True,False,Andisheh,493000000.0,16433.33
44,1,True,True,False,Andisheh,350000000.0,11666.67
95,2,True,True,True,Andisheh,1500000000.0,50000.0
134,3,True,True,True,Andisheh,1600000000.0,53333.33
115,2,True,True,True,Andisheh,1900000000.0,63333.33
46,1,True,True,False,Andisheh,450000000.0,15000.0
40,1,True,True,True,Andisheh,350000000.0,11666.67
72,1,True,True,False,Andisheh,730000000.0,24333.33
64,2,True,True,False,Andisheh,960000000.0,32000.0
81,2,True,True,False,Andisheh,1109700000.0,36990.0
94,2,True,True,True,Andisheh,1250000000.0,41666.67
44,1,True,True,False,Andisheh,585000000.0,19500.0
71,2,True,True,False,Andisheh,940000000.0,31333.33
80,2,True,True,False,Andisheh,1110000000.0,37000.0
84,3,True,True,True,Andisheh,1590000000.0,53000.0
49,1,True,True,False,Andisheh,380000000.0,12666.67
63,2,True,True,False,Andisheh,870000000.0,29000.0
48,1,True,True,True,Andisheh,400000000.0,13333.33
54,1,True,True,False,Andisheh,500000000.0,16666.67
76,2,True,True,True,Andisheh,896000000.0,29866.67
133,3,False,False,False,Andisheh,1600000000.0,53333.33
84,3,True,True,True,Andisheh,1554000000.0,51800.0
140,3,True,True,True,Andisheh,1484000000.0,49466.67
105,3,True,True,False,Andisheh,3400000000.0,113333.33
37,1,False,True,False,Andisheh,355000000.0,11833.33
160,3,True,True,True,Andisheh,3000000000.0,100000.0
120,2,True,True,False,Andisheh,1800000000.0,60000.0
89,2,True,False,True,Andisheh,1100000000.0,36666.67
95,2,True,True,True,Andisheh,1200000000.0,40000.0
134,3,True,True,True,Andisheh,1100000000.0,36666.67
134,3,True,True,True,Andisheh,1100000000.0,36666.67
105,2,False,True,False,Andisheh,1100000000.0,36666.67
45,1,False,True,False,Andisheh,395000000.0,13166.67
200,2,True,True,False,Andisheh,2000000000.0,66666.67
60,2,True,True,True,Andisheh,950000000.0,31666.67
198,4,True,True,False,Andisheh,5200000000.0,173333.33
105,2,True,True,True,Andisheh,1930000000.0,64333.33
105,2,True,True,False,Andisheh,1000000000.0,33333.33
170,4,True,True,True,Andisheh,3060000000.0,102000.0
92,2,False,True,False,Andisheh,930000000.0,31000.0
100,2,True,True,True,Andisheh,1800000000.0,60000.0
55,1,True,True,False,Andisheh,550000000.0,18333.33
50,1,True,True,False,Andisheh,650000000.0,21666.67
84,2,True,True,False,Andisheh,773000000.0,25766.67
49,1,True,True,False,Andisheh,110000000.0,3666.67
105,2,True,True,True,Andisheh,1200000000.0,40000.0
89,2,True,True,False,Andisheh,1068000000.0,35600.0
39,1,False,True,False,Andisheh,370000000.0,12333.33
52,1,False,True,True,Andisheh,665000000.0,22166.67
50,1,True,True,False,Andisheh,755000000.0,25166.67
85,2,True,True,True,Andisheh,1100000000.0,36666.67
63,2,False,True,False,Andisheh,410000000.0,13666.67
73,2,True,True,False,Andisheh,868000000.0,28933.33
95,2,True,True,True,Andisheh,1200000000.0,40000.0
98,2,True,True,True,Andisheh,1370000000.0,45666.67
52,1,True,True,False,Andisheh,670000000.0,22333.33
40,1,True,True,False,Andisheh,260000000.0,8666.67
37,1,True,True,False,Andisheh,345000000.0,11500.0
51,1,True,True,False,Andisheh,670000000.0,22333.33
58,2,True,True,False,Andisheh,754000000.0,25133.33
105,2,True,True,False,Andisheh,1100000000.0,36666.67
39,1,True,True,False,Andisheh,550000000.0,18333.33
55,2,True,True,True,Andisheh,450000000.0,15000.0
55,1,True,True,True,Andisheh,450000000.0,15000.0
65,2,True,True,False,Andisheh,600000000.0,20000.0
66,1,False,True,False,Andisheh,750000000.0,25000.0
38,1,False,True,False,Andisheh,320000000.0,10666.67
56,2,True,True,False,Andisheh,515000000.0,17166.67
72,2,False,False,False,Andisheh,950000000.0,31666.67
55,1,True,True,True,Andisheh,797500000.0,26583.33
69,2,True,True,False,Andisheh,980000000.0,32666.67
59,1,True,True,True,Andisheh,708000000.0,23600.0
61,2,False,True,False,Andisheh,460000000.0,15333.33
