Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
66,2,False,True,False,Beryanak,1000000000.0,33333.33
101,2,True,True,True,Beryanak,2323000000.0,77433.33
150,3,True,True,True,Beryanak,2800000000.0,93333.33
54,1,False,True,False,Beryanak,830000000.0,27666.67
43,1,False,True,True,Beryanak,1200000000.0,40000.0
43,1,True,True,True,Beryanak,1250000000.0,41666.67
62,2,True,True,True,Beryanak,1400000000.0,46666.67
66,2,False,True,False,Beryanak,1000000000.0,33333.33
50,1,True,True,False,Beryanak,830000000.0,27666.67
62,2,False,True,False,Beryanak,930000000.0,31000.0
72,2,False,True,True,Beryanak,1290000000.0,43000.0
75,2,True,True,True,Beryanak,1450000000.0,48333.33
67,1,True,False,True,Beryanak,1415000000.0,47166.67
65,2,False,False,True,Beryanak,1310000000.0,43666.67
72,2,False,True,True,Beryanak,1300000000.0,43333.33
48,1,False,True,False,Beryanak,830000000.0,27666.67
60,1,False,True,False,Beryanak,830000000.0,27666.67
33,1,False,True,False,Beryanak,560000000.0,18666.67
59,1,False,True,False,Beryanak,880000000.0,29333.33
55,2,False,True,True,Beryanak,1020000000.0,34000.0
43,1,False,True,True,Beryanak,725000000.0,24166.67
62,1,False,True,False,Beryanak,682000000.0,22733.33
48,1,False,False,False,Beryanak,740000000.0,24666.67
54,1,False,True,False,Beryanak,760000000.0,25333.33
68,2,False,True,True,Beryanak,1258000000.0,41933.33
