Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
200,2,True,True,False,Damavand,3500000000.0,116666.67
84,2,True,True,True,Damavand,2150000000.0,71666.67
60,1,False,False,False,Damavand,900000000.0,30000.0
78,2,False,False,False,Damavand,490000000.0,16333.33
90,2,True,True,True,Damavand,605000000.0,20166.67
52,1,False,False,False,Damavand,375000000.0,12500.0
106,2,True,True,True,Damavand,2360000000.0,78666.67
83,2,True,True,False,Damavand,1550000000.0,51666.67
130,1,True,True,False,Damavand,8500000000.0,283333.33
75,2,False,False,False,Damavand,520000000.0,17333.33
62,1,False,False,False,Damavand,710000000.0,23666.67
90,2,True,True,True,Damavand,1350000000.0,45000.0
95,2,True,True,True,Damavand,1750000000.0,58333.33
80,2,False,False,False,Damavand,750000000.0,25000.0
94,2,False,True,True,Damavand,595000000.0,19833.33
