Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
130,2,True,True,True,Dorous,16900000000.0,563333.33
179,3,True,True,True,Dorous,13800000000.0,460000.0
82,2,True,True,True,Dorous,4200000000.0,140000.0
161,3,True,True,True,Dorous,13000000000.0,433333.33
190,3,True,True,True,Dorous,12000000000.0,400000.0
135,2,True,True,True,Dorous,10000000000.0,333333.33
133,3,True,True,True,Dorous,8600000000.0,286666.67
85,2,True,True,True,Dorous,4200000000.0,140000.0
155,3,True,True,True,Dorous,9800000000.0,326666.67
105,2,True,True,True,Dorous,5600000000.0,186666.67
