Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
53,1,True,True,False,East Ferdows Boulevard,1920000000.0,64000.0
75,2,True,True,True,East Ferdows Boulevard,2100000000.0,70000.0
200,3,True,True,True,East Ferdows Boulevard,11000000000.0,366666.67
104,2,True,True,True,East Ferdows Boulevard,5700000000.0,190000.0
75,2,True,True,True,East Ferdows Boulevard,2350000000.0,78333.33
58,1,True,True,True,East Ferdows Boulevard,1850000000.0,61666.67
75,2,True,True,False,East Ferdows Boulevard,2000000000.0,66666.67
75,2,True,True,True,East Ferdows Boulevard,2730000000.0,91000.0
106,2,True,True,False,East Ferdows Boulevard,3150000000.0,105000.0
115,2,True,True,True,East Ferdows Boulevard,4600000000.0,153333.33
118,2,True,True,True,East Ferdows Boulevard,4500000000.0,150000.0
116,2,True,True,True,East Ferdows Boulevard,5100000000.0,170000.0
74,2,True,True,False,East Ferdows Boulevard,2300000000.0,76666.67
53,1,True,True,True,East Ferdows Boulevard,1920000000.0,64000.0
126,2,True,True,True,East Ferdows Boulevard,5500000000.0,183333.33
180,3,True,True,True,East Ferdows Boulevard,9360000000.0,312000.0
164,3,True,True,True,East Ferdows Boulevard,9840000000.0,328000.0
88,2,True,True,True,East Ferdows Boulevard,3700000000.0,123333.33
117,3,True,True,True,East Ferdows Boulevard,4600000000.0,153333.33
173,3,True,True,True,East Ferdows Boulevard,9515000000.0,317166.67
68,2,True,True,True,East Ferdows Boulevard,2700000000.0,90000.0
180,3,True,True,True,East Ferdows Boulevard,9900000000.0,330000.0
53,1,True,True,False,East Ferdows Boulevard,1920000000.0,64000.0
79,2,True,True,True,East Ferdows Boulevard,2850000000.0,95000.0
90,2,True,True,True,East Ferdows Boulevard,3150000000.0,105000.0
78,2,True,True,True,East Ferdows Boulevard,3300000000.0,110000.0
45,1,True,True,True,East Ferdows Boulevard,1900000000.0,63333.33
55,1,True,True,True,East Ferdows Boulevard,1830000000.0,61000.0
55,1,True,True,True,East Ferdows Boulevard,2000000000.0,66666.67
105,3,True,True,True,East Ferdows Boulevard,3900000000.0,130000.0
54,1,True,True,True,East Ferdows Boulevard,2150000000.0,71666.67
100,2,True,True,True,East Ferdows Boulevard,3500000000.0,116666.67
57,1,True,True,True,East Ferdows Boulevard,2050000000.0,68333.33
115,2,True,True,True,East Ferdows Boulevard,4200000000.0,140000.0
75,2,True,True,True,East Ferdows Boulevard,2350000000.0,78333.33
106,2,True,True,True,East Ferdows Boulevard,3500000000.0,116666.67
56,1,True,True,True,East Ferdows Boulevard,1980000000.0,66000.0
58,1,True,True,True,East Ferdows Boulevard,2080000000.0,69333.33
60,1,True,True,True,East Ferdows Boulevard,1920000000.0,64000.0
71,2,True,True,False,East Ferdows Boulevard,2280000000.0,76000.0
54,1,True,True,True,East Ferdows Boulevard,2050000000.0,68333.33
55,1,True,True,True,East Ferdows Boulevard,1920000000.0,64000.0
115,2,True,True,True,East Ferdows Boulevard,5200000000.0,173333.33
60,1,True,True,False,East Ferdows Boulevard,1800000000.0,60000.0
55,1,True,True,True,East Ferdows Boulevard,1780000000.0,59333.33
76,2,True,True,True,East Ferdows Boulevard,2250000000.0,75000.0
58,1,True,True,True,East Ferdows Boulevard,1860000000.0,62000.0
52,1,True,True,True,East Ferdows Boulevard,2300000000.0,76666.67
100,2,True,True,True,East Ferdows Boulevard,3400000000.0,113333.33
71,2,True,True,True,East Ferdows Boulevard,2530000000.0,84333.33
85,2,True,True,True,East Ferdows Boulevard,2800000000.0,93333.33
133,3,True,True,True,East Ferdows Boulevard,8000000000.0,266666.67
53,1,True,True,False,East Ferdows Boulevard,1920000000.0,64000.0
67,2,True,True,True,East Ferdows Boulevard,2380000000.0,79333.33
79,2,True,True,True,East Ferdows Boulevard,2600000000.0,86666.67
96,2,True,True,True,East Ferdows Boulevard,3950000000.0,131666.67
123,3,True,True,True,East Ferdows Boulevard,5600000000.0,186666.67
70,2,True,True,True,East Ferdows Boulevard,3000000000.0,100000.0
70,1,True,True,True,East Ferdows Boulevard,2600000000.0,86666.67
83,2,True,True,True,East Ferdows Boulevard,2800000000.0,93333.33
68,2,True,True,True,East Ferdows Boulevard,2500000000.0,83333.33
65,1,True,True,True,East Ferdows Boulevard,2170000000.0,72333.33
70,2,True,True,True,East Ferdows Boulevard,2750000000.0,91666.67
111,2,True,True,True,East Ferdows Boulevard,3990000000.0,133000.0
185,3,True,True,True,East Ferdows Boulevard,9500000000.0,316666.67
190,3,True,True,True,East Ferdows Boulevard,9500000000.0,316666.67
140,3,True,True,True,East Ferdows Boulevard,7300000000.0,243333.33
70,2,True,True,True,East Ferdows Boulevard,2160000000.0,72000.0
58,1,True,True,True,East Ferdows Boulevard,2200000000.0,73333.33
71,2,True,True,True,East Ferdows Boulevard,2950000000.0,98333.33
80,2,True,True,True,East Ferdows Boulevard,2980000000.0,99333.33
80,2,True,True,True,East Ferdows Boulevard,3000000000.0,100000.0
105,3,True,True,True,East Ferdows Boulevard,5830000000.0,194333.33
