Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
67,2,True,True,False,Feiz Garden,2350000000.0,78333.33
65,2,True,True,True,Feiz Garden,2500000000.0,83333.33
92,2,True,True,True,Feiz Garden,3900000000.0,130000.0
104,2,True,True,True,Feiz Garden,3850000000.0,128333.33
110,2,True,True,True,Feiz Garden,4300000000.0,143333.33
90,2,True,True,True,Feiz Garden,3850000000.0,128333.33
57,1,True,True,True,Feiz Garden,1880000000.0,62666.67
65,2,True,True,False,Feiz Garden,1960000000.0,65333.33
73,2,True,True,True,Feiz Garden,2600000000.0,86666.67
63,2,True,True,True,Feiz Garden,2100000000.0,70000.0
109,3,True,True,True,Feiz Garden,4230000000.0,141000.0
60,1,True,True,True,Feiz Garden,2450000000.0,81666.67
53,1,True,True,True,Feiz Garden,2120000000.0,70666.67
56,1,True,True,True,Feiz Garden,2000000000.0,66666.67
110,2,True,True,True,Feiz Garden,3670000000.0,122333.33
130,3,True,True,True,Feiz Garden,5600000000.0,186666.67
95,2,True,True,True,Feiz Garden,3600000000.0,120000.0
90,2,True,True,True,Feiz Garden,3600000000.0,120000.0
97,2,True,True,True,Feiz Garden,3800000000.0,126666.67
105,2,True,True,True,Feiz Garden,4350000000.0,145000.0
92,2,True,True,True,Feiz Garden,3950000000.0,131666.67
65,2,False,True,False,Feiz Garden,1900000000.0,63333.33
67,2,True,True,True,Feiz Garden,2120000000.0,70666.67
57,1,True,True,True,Feiz Garden,1890000000.0,63000.0
115,3,True,True,True,Feiz Garden,3500000000.0,116666.67
80,2,True,True,True,Feiz Garden,2900000000.0,96666.67
56,1,True,True,True,Feiz Garden,2200000000.0,73333.33
57,1,True,True,False,Feiz Garden,1930000000.0,64333.33
101,2,True,True,True,Feiz Garden,4550000000.0,151666.67
105,2,True,True,True,Feiz Garden,4550000000.0,151666.67
110,2,True,True,True,Feiz Garden,4550000000.0,151666.67
66,2,False,False,False,Feiz Garden,1750000000.0,58333.33
61,1,False,False,False,Feiz Garden,1800000000.0,60000.0
75,2,True,False,True,Feiz Garden,2700000000.0,90000.0
103,2,True,True,True,Feiz Garden,4000000000.0,133333.33
65,2,False,True,False,Feiz Garden,1900000000.0,63333.33
92,2,True,True,True,Feiz Garden,3350000000.0,111666.67
63,1,True,True,False,Feiz Garden,1890000000.0,63000.0
