Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
130,3,True,True,True,Gheitarieh,12300000000.0,410000.0
165,3,True,True,True,Gheitarieh,12300000000.0,410000.0
135,2,True,True,False,Gheitarieh,7400000000.0,246666.67
132,3,True,True,True,Gheitarieh,6250000000.0,208333.33
160,3,True,True,True,Gheitarieh,15100000000.0,503333.33
170,3,True,True,True,Gheitarieh,15400000000.0,513333.33
143,3,True,True,True,Gheitarieh,8860000000.0,295333.33
160,3,True,True,True,Gheitarieh,10000000000.0,333333.33
100,2,True,True,True,Gheitarieh,8000000000.0,266666.67
168,3,True,True,True,Gheitarieh,14000000000.0,466666.67
120,2,True,True,True,Gheitarieh,8900000000.0,296666.67
112,2,True,True,False,Gheitarieh,7500000000.0,250000.0
87,2,True,True,True,Gheitarieh,6264000000.0,208800.0
87,2,True,True,True,Gheitarieh,6264000000.0,208800.0
105,2,True,True,True,Gheitarieh,6200000000.0,206666.67
112,2,True,True,True,Gheitarieh,8200000000.0,273333.33
150,3,True,True,True,Gheitarieh,9000000000.0,300000.0
150,3,True,True,True,Gheitarieh,12500000000.0,416666.67
128,3,True,True,True,Gheitarieh,9300000000.0,310000.0
171,3,True,True,True,Gheitarieh,14000000000.0,466666.67
115,3,True,True,True,Gheitarieh,7485000000.0,249500.0
200,4,True,True,True,Gheitarieh,14000000000.0,466666.67
155,3,True,True,True,Gheitarieh,9800000000.0,326666.67
145,3,True,True,True,Gheitarieh,11600000000.0,386666.67
175,3,True,True,True,Gheitarieh,15225000000.0,507500.0
77,2,True,True,True,Gheitarieh,5544000000.0,184800.0
102,2,True,True,True,Gheitarieh,8100000000.0,270000.0
161,3,True,True,True,Gheitarieh,15350000000.0,511666.67
145,3,True,True,True,Gheitarieh,13625000000.0,454166.67
175,3,True,True,True,Gheitarieh,15500000000.0,516666.67
115,2,True,True,True,Gheitarieh,7400000000.0,246666.67
105,2,True,True,True,Gheitarieh,6900000000.0,230000.0
140,3,True,True,True,Gheitarieh,8000000000.0,266666.67
125,3,True,True,True,Gheitarieh,7100000000.0,236666.67
93,2,True,True,True,Gheitarieh,6000000000.0,200000.0
130,2,True,True,False,Gheitarieh,6890000000.0,229666.67
150,3,False,False,False,Gheitarieh,10500000000.0,350000.0
98,2,True,True,True,Gheitarieh,6958000000.0,231933.33
92,2,True,True,True,Gheitarieh,6600000000.0,220000.0
190,3,True,True,True,Gheitarieh,14000000000.0,466666.67
145,2,True,True,True,Gheitarieh,12000000000.0,400000.0
108,2,True,True,True,Gheitarieh,9000000000.0,300000.0
85,2,True,True,True,Gheitarieh,7200000000.0,240000.0
85,2,True,True,True,Gheitarieh,7300000000.0,243333.33
140,3,True,True,True,Gheitarieh,8900000000.0,296666.67
160,3,True,True,True,Gheitarieh,9800000000.0,326666.67
90,2,True,True,True,Gheitarieh,7000000000.0,233333.33
107,3,True,True,True,Gheitarieh,6420000000.0,214000.0
65,1,True,True,True,Gheitarieh,4225000000.0,140833.33
115,2,True,True,True,Gheitarieh,8300000000.0,276666.67
130,2,True,True,True,Gheitarieh,12000000000.0,400000.0
125,2,True,True,True,Gheitarieh,12500000000.0,416666.67
195,3,True,True,True,Gheitarieh,19000000000.0,633333.33
100,2,True,True,True,Gheitarieh,6800000000.0,226666.67
100,2,True,True,True,Gheitarieh,8200000000.0,273333.33
94,2,True,True,True,Gheitarieh,8350000000.0,278333.33
101,2,True,True,True,Gheitarieh,8800000000.0,293333.33
101,2,True,True,True,Gheitarieh,8500000000.0,283333.33
99,1,True,True,True,Gheitarieh,8400000000.0,280000.0
126,2,True,True,True,Gheitarieh,11500000000.0,383333.33
100,2,True,True,True,Gheitarieh,8300000000.0,276666.67
157,3,True,True,True,Gheitarieh,13600000000.0,453333.33
190,3,True,True,True,Gheitarieh,15500000000.0,516666.67
150,3,True,True,True,Gheitarieh,11000000000.0,366666.67
155,3,True,True,True,Gheitarieh,14700000000.0,490000.0
150,2,True,True,True,Gheitarieh,13000000000.0,433333.33
100,2,True,True,True,Gheitarieh,8400000000.0,280000.0
125,2,True,True,True,Gheitarieh,11000000000.0,366666.67
95,2,True,True,True,Gheitarieh,8300000000.0,276666.67
90,2,True,True,True,Gheitarieh,8200000000.0,273333.33
198,3,True,True,True,Gheitarieh,13500000000.0,450000.0
115,2,True,True,True,Gheitarieh,9500000000.0,316666.67
150,3,True,True,True,Gheitarieh,13000000000.0,433333.33
200,3,True,True,True,Gheitarieh,16000000000.0,533333.33
123,3,True,True,True,Gheitarieh,7400000000.0,246666.67
160,3,True,True,True,Gheitarieh,10200000000.0,340000.0
133,3,True,True,True,Gheitarieh,13300000000.0,443333.33
130,3,True,True,True,Gheitarieh,8700000000.0,290000.0
120,2,True,True,True,Gheitarieh,11000000000.0,366666.67
100,2,True,True,True,Gheitarieh,8000000000.0,266666.67
140,3,True,True,True,Gheitarieh,11150000000.0,371666.67
93,2,True,True,True,Gheitarieh,5600000000.0,186666.67
98,2,True,True,True,Gheitarieh,8700000000.0,290000.0
85,2,True,True,True,Gheitarieh,7400000000.0,246666.67
190,3,True,True,True,Gheitarieh,12000000000.0,400000.0
150,3,True,True,True,Gheitarieh,14500000000.0,483333.33
197,3,True,True,True,Gheitarieh,13300000000.0,443333.33
153,2,True,True,True,Gheitarieh,13300000000.0,443333.33
195,3,True,True,True,Gheitarieh,19900000000.0,663333.33
125,2,True,True,True,Gheitarieh,11600000000.0,386666.67
85,2,True,True,True,Gheitarieh,7300000000.0,243333.33
195,3,True,True,True,Gheitarieh,19500000000.0,650000.0
170,3,False,False,False,Gheitarieh,14500000000.0,483333.33
153,3,True,True,True,Gheitarieh,13000000000.0,433333.33
88,2,True,True,True,Gheitarieh,7600000000.0,253333.33
100,2,True,True,True,Gheitarieh,8500000000.0,283333.33
116,3,True,True,True,Gheitarieh,8000000000.0,266666.67
85,2,True,True,True,Gheitarieh,8000000000.0,266666.67
86,2,True,True,True,Gheitarieh,7200000000.0,240000.0
