Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
78,2,True,True,True,Kahrizak,780000000.0,26000.0
134,2,True,True,True,Kahrizak,1608000000.0,53600.0
138,3,True,True,True,Kahrizak,1242000000.0,41400.0
75,2,False,True,True,Kahrizak,862500000.0,28750.0
200,2,False,False,False,Kahrizak,2650000000.0,88333.33
100,2,False,False,False,Kahrizak,1200000000.0,40000.0
51,1,False,True,True,Kahrizak,610000000.0,20333.33
105,3,True,True,True,Kahrizak,1155000000.0,38500.0
55,1,False,True,True,Kahrizak,660000000.0,22000.0
105,2,True,True,True,Kahrizak,1160000000.0,38666.67
105,3,True,True,True,Kahrizak,1312000000.0,43733.33
70,2,True,True,True,Kahrizak,714000000.0,23800.0
82,2,True,True,True,Kahrizak,820000000.0,27333.33
85,2,True,True,True,Kahrizak,850000000.0,28333.33
138,3,True,True,True,Kahrizak,1242000000.0,41400.0
53,1,False,False,False,Kahrizak,450000000.0,15000.0
