Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
64,1,True,True,True,Narmak,2100000000.0,70000.0
54,1,False,True,True,Narmak,1690000000.0,56333.33
155,3,True,True,True,Narmak,6700000000.0,223333.33
98,2,True,True,False,Narmak,2842000000.0,94733.33
66,2,True,True,True,Narmak,2510000000.0,83666.67
150,3,True,True,True,Narmak,8400000000.0,280000.0
50,1,True,True,False,Narmak,1750000000.0,58333.33
82,2,True,True,True,Narmak,3050000000.0,101666.67
121,2,True,True,True,Narmak,5500000000.0,183333.33
62,1,True,True,True,Narmak,2250000000.0,75000.0
60,1,False,True,True,Narmak,2100000000.0,70000.0
53,1,False,True,True,Narmak,1350000000.0,45000.0
40,1,True,True,False,Narmak,1250000000.0,41666.67
43,1,True,True,False,Narmak,1330000000.0,44333.33
66,2,True,True,False,Narmak,2200000000.0,73333.33
127,2,True,True,True,Narmak,4826000000.0,160866.67
59,1,True,True,True,Narmak,2100000000.0,70000.0
100,2,True,True,True,Narmak,3200000000.0,106666.67
100,2,True,True,True,Narmak,3800000000.0,126666.67
62,1,True,True,False,Narmak,2100000000.0,70000.0
53,1,False,True,True,Narmak,2300000000.0,76666.67
130,2,False,True,False,Narmak,6300000000.0,210000.0
97,2,True,True,True,Narmak,4000000000.0,133333.33
70,2,True,True,False,Narmak,1850000000.0,61666.67
