Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
70,2,True,True,False,North Program Organization,2050000000.0,68333.33
76,2,True,True,True,North Program Organization,2600000000.0,86666.67
75,2,True,True,True,North Program Organization,2300000000.0,76666.67
80,2,True,True,True,North Program Organization,3100000000.0,103333.33
99,3,True,True,True,North Program Organization,4190000000.0,139666.67
58,1,True,True,True,North Program Organization,2750000000.0,91666.67
84,2,True,True,True,North Program Organization,3250000000.0,108333.33
106,2,True,True,True,North Program Organization,4520000000.0,150666.67
87,2,True,True,True,North Program Organization,3000000000.0,100000.0
50,1,True,False,True,North Program Organization,1900000000.0,63333.33
90,2,True,True,True,North Program Organization,3420000000.0,114000.0
75,2,True,True,True,North Program Organization,2930000000.0,97666.67
68,2,True,True,True,North Program Organization,2450000000.0,81666.67
95,2,True,True,True,North Program Organization,4300000000.0,143333.33
101,2,True,True,True,North Program Organization,5150000000.0,171666.67
134,3,True,True,True,North Program Organization,6400000000.0,213333.33
105,3,True,True,True,North Program Organization,5985000000.0,199500.0
71,2,True,True,True,North Program Organization,2160000000.0,72000.0
105,2,True,True,True,North Program Organization,4900000000.0,163333.33
155,3,True,True,True,North Program Organization,5100000000.0,170000.0
155,3,True,True,True,North Program Organization,5300000000.0,176666.67
170,3,True,True,True,North Program Organization,8000000000.0,266666.67
90,2,True,True,True,North Program Organization,4750000000.0,158333.33
80,2,True,True,True,North Program Organization,2950000000.0,98333.33
