Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
60,1,True,True,True,Northern Chitgar,295000000.0,9833.33
90,2,True,True,True,Northern Chitgar,455000000.0,15166.67
103,2,True,True,True,Northern Chitgar,1035000000.0,34500.0
60,1,True,True,True,Northern Chitgar,875000000.0,29166.67
60,1,True,True,True,Northern Chitgar,875000000.0,29166.67
60,1,True,True,True,Northern Chitgar,1200000000.0,40000.0
50,0,True,True,True,Northern Chitgar,345000000.0,11500.0
60,1,True,True,True,Northern Chitgar,875000000.0,29166.67
180,4,True,True,True,Northern Chitgar,2720000000.0,90666.67
120,3,True,True,True,Northern Chitgar,1750000000.0,58333.33
150,3,True,True,True,Northern Chitgar,2240000000.0,74666.67
90,2,True,True,True,Northern Chitgar,690000000.0,23000.0
90,2,True,True,True,Northern Chitgar,690000000.0,23000.0
118,2,True,True,True,Northern Chitgar,320000000.0,10666.67
62,1,True,True,True,Northern Chitgar,875000000.0,29166.67
90,2,True,True,True,Northern Chitgar,1315000000.0,43833.33
