Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
80,2,True,True,True,Northren Jamalzadeh,3600000000.0,120000.0
123,2,True,True,True,Northren Jamalzadeh,3600000000.0,120000.0
55,1,False,False,True,Northren Jamalzadeh,1540000000.0,51333.33
94,2,False,True,False,Northren Jamalzadeh,2400000000.0,80000.0
140,3,True,True,True,Northren Jamalzadeh,6700000000.0,223333.33
84,2,True,True,True,Northren Jamalzadeh,2600000000.0,86666.67
114,2,True,True,True,Northren Jamalzadeh,5500000000.0,183333.33
40,1,True,False,True,Northren Jamalzadeh,1500000000.0,50000.0
135,3,True,True,True,Northren Jamalzadeh,6000000000.0,200000.0
90,2,True,True,True,Northren Jamalzadeh,3450000000.0,115000.0
63,2,True,True,True,Northren Jamalzadeh,2600000000.0,86666.67
94,2,False,True,False,Northren Jamalzadeh,2400000000.0,80000.0
100,2,False,False,False,Northren Jamalzadeh,3600000000.0,120000.0
85,2,True,True,True,Northren Jamalzadeh,3600000000.0,120000.0
