Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
62,2,False,False,True,Ostad Moein,1450000000.0,48333.33
121,3,True,True,False,Ostad Moein,3300000000.0,110000.0
66,2,True,True,True,Ostad Moein,1585000000.0,52833.33
80,2,True,True,True,Ostad Moein,2150000000.0,71666.67
126,3,True,True,True,Ostad Moein,3000000000.0,100000.0
45,1,False,False,False,Ostad Moein,1200000000.0,40000.0
66,1,True,True,False,Ostad Moein,1090000000.0,36333.33
57,1,True,True,True,Ostad Moein,1600000000.0,53333.33
100,2,True,True,True,Ostad Moein,3600000000.0,120000.0
66,2,True,True,True,Ostad Moein,1585000000.0,52833.33
66,2,True,True,True,Ostad Moein,1580000000.0,52666.67
95,2,True,True,True,Ostad Moein,2600000000.0,86666.67
68,2,True,True,True,Ostad Moein,1970000000.0,65666.67
165,3,True,True,True,Ostad Moein,5250000000.0,175000.0
57,1,True,True,True,Ostad Moein,1600000000.0,53333.33
115,2,True,True,True,Ostad Moein,3280000000.0,109333.33
50,1,True,True,True,Ostad Moein,1500000000.0,50000.0
63,1,True,True,True,Ostad Moein,1280000000.0,42666.67
40,0,False,True,False,Ostad Moein,650000000.0,21666.67
66,2,True,True,True,Ostad Moein,1585000000.0,52833.33
63,1,True,True,True,Ostad Moein,1280000000.0,42666.67
66,2,True,True,True,Ostad Moein,1585000000.0,52833.33
82,2,True,True,True,Ostad Moein,2600000000.0,86666.67
154,3,True,True,True,Ostad Moein,4000000000.0,133333.33
105,3,True,True,True,Ostad Moein,2910000000.0,97000.0
66,2,True,False,True,Ostad Moein,1580000000.0,52666.67
66,2,True,False,True,Ostad Moein,1580000000.0,52666.67
63,1,True,True,True,Ostad Moein,1380000000.0,46000.0
95,2,True,True,True,Ostad Moein,2990000000.0,99666.67
96,2,True,True,True,Ostad Moein,2990000000.0,99666.67
125,2,True,True,True,Ostad Moein,3900000000.0,130000.0
66,2,True,True,True,Ostad Moein,1580000000.0,52666.67
100,2,True,True,True,Ostad Moein,2800000000.0,93333.33
95,2,True,True,True,Ostad Moein,2950000000.0,98333.33
50,1,False,True,True,Ostad Moein,1000000000.0,33333.33
120,3,True,True,True,Ostad Moein,3950000000.0,131666.67
57,1,False,True,True,Ostad Moein,1320000000.0,44000.0
56,2,True,True,True,Ostad Moein,1500000000.0,50000.0
120,3,True,True,True,Ostad Moein,3950000000.0,131666.67
45,1,False,False,True,Ostad Moein,1200000000.0,40000.0
56,1,False,True,False,Ostad Moein,1200000000.0,40000.0
65,2,False,False,False,Ostad Moein,1200000000.0,40000.0
51,1,False,True,False,Ostad Moein,900000000.0,30000.0
44,1,True,False,True,Ostad Moein,1000000000.0,33333.33
37,1,False,True,True,Ostad Moein,999000000.0,33300.0
47,1,False,True,False,Ostad Moein,1050000000.0,35000.0
62,1,True,False,True,Ostad Moein,1440000000.0,48000.0
115,2,False,True,False,Ostad Moein,1300000000.0,43333.33
91,2,True,True,True,Ostad Moein,2435000000.0,81166.67
64,2,True,True,True,Ostad Moein,1790000000.0,59666.67
63,2,True,True,True,Ostad Moein,1670000000.0,55666.67
100,2,True,True,True,Ostad Moein,3150000000.0,105000.0
57,1,True,True,True,Ostad Moein,1600000000.0,53333.33
63,1,True,True,True,Ostad Moein,1380000000.0,46000.0
37,1,False,False,False,Ostad Moein,620000000.0,20666.67
65,2,False,True,True,Ostad Moein,1550000000.0,51666.67
50,1,False,True,False,Ostad Moein,850000000.0,28333.33
68,2,True,True,True,Ostad Moein,1970000000.0,65666.67
80,2,True,True,True,Ostad Moein,2440000000.0,81333.33
100,2,True,True,True,Ostad Moein,3150000000.0,105000.0
117,3,True,True,True,Ostad Moein,3680000000.0,122666.67
63,1,True,True,True,Ostad Moein,1280000000.0,42666.67
57,1,True,True,True,Ostad Moein,1600000000.0,53333.33
48,1,True,True,True,Ostad Moein,1350000000.0,45000.0
68,2,False,True,True,Ostad Moein,1320000000.0,44000.0
68,2,True,True,True,Ostad Moein,1970000000.0,65666.67
68,2,True,True,True,Ostad Moein,1970000000.0,65666.67
80,2,True,True,True,Ostad Moein,2250000000.0,75000.0
57,1,True,True,True,Ostad Moein,1600000000.0,53333.33
85,2,True,True,False,Ostad Moein,2000000000.0,66666.67
68,2,False,True,False,Ostad Moein,1500000000.0,50000.0
68,2,False,False,True,Ostad Moein,1320000000.0,44000.0
72,2,True,True,True,Ostad Moein,1860000000.0,62000.0
63,1,True,True,True,Ostad Moein,1380000000.0,46000.0
61,1,False,False,True,Ostad Moein,1180000000.0,39333.33
39,1,True,False,True,Ostad Moein,1170000000.0,39000.0
30,0,False,True,False,Ostad Moein,500000000.0,16666.67
68,2,True,True,True,Ostad Moein,1680000000.0,56000.0
130,1,True,True,True,Ostad Moein,1280000000.0,42666.67
51,1,False,False,True,Ostad Moein,1100000000.0,36666.67
80,2,True,True,True,Ostad Moein,2250000000.0,75000.0
113,3,True,True,True,Ostad Moein,3170000000.0,105666.67
