Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
79,2,True,True,True,Pardis,550000000.0,18333.33
87,2,True,True,True,Pardis,600000000.0,20000.0
98,2,True,True,True,Pardis,540000000.0,18000.0
97,2,True,True,True,Pardis,510000000.0,17000.0
105,2,True,True,True,Pardis,605000000.0,20166.67
86,2,True,True,True,Pardis,580000000.0,19333.33
84,2,True,True,True,Pardis,560000000.0,18666.67
105,2,True,True,True,Pardis,700000000.0,23333.33
81,2,True,False,True,Pardis,590000000.0,19666.67
87,2,True,True,True,Pardis,625000000.0,20833.33
87,2,True,True,True,Pardis,650000000.0,21666.67
84,2,True,True,True,Pardis,680000000.0,22666.67
105,2,True,True,True,Pardis,1000000000.0,33333.33
160,2,True,True,True,Pardis,1930000000.0,64333.33
100,2,True,True,True,Pardis,585000000.0,19500.0
94,2,True,False,True,Pardis,990000000.0,33000.0
160,2,True,True,True,Pardis,1930000000.0,64333.33
64,1,True,True,True,Pardis,680000000.0,22666.67
105,2,True,True,True,Pardis,690000000.0,23000.0
87,2,True,True,True,Pardis,760000000.0,25333.33
108,2,True,True,False,Pardis,1300000000.0,43333.33
86,2,True,True,True,Pardis,610000000.0,20333.33
110,2,True,True,False,Pardis,1870000000.0,62333.33
88,2,True,True,True,Pardis,740000000.0,24666.67
85,2,True,True,True,Pardis,780000000.0,26000.0
87,2,True,True,True,Pardis,715000000.0,23833.33
87,2,True,True,True,Pardis,650000000.0,21666.67
79,2,True,True,True,Pardis,550000000.0,18333.33
87,2,True,True,True,Pardis,540000000.0,18000.0
84,2,True,True,True,Pardis,550000000.0,18333.33
84,2,True,True,True,Pardis,560000000.0,18666.67
84,2,True,True,True,Pardis,540000000.0,18000.0
84,2,True,True,True,Pardis,550000000.0,18333.33
88,2,True,True,True,Pardis,1900000000.0,63333.33
82,2,True,True,True,Pardis,1100000000.0,36666.67
160,2,True,True,True,Pardis,2000000000.0,66666.67
87,2,True,True,True,Pardis,795000000.0,26500.0
87,2,True,True,True,Pardis,670000000.0,22333.33
121,3,True,True,True,Pardis,630000000.0,21000.0
105,2,True,True,True,Pardis,955000000.0,31833.33
100,3,True,True,True,Pardis,500000000.0,16666.67
105,2,True,True,True,Pardis,980000000.0,32666.67
87,2,True,True,True,Pardis,490000000.0,16333.33
86,2,True,True,True,Pardis,500000000.0,16666.67
85,2,True,True,True,Pardis,600000000.0,20000.0
86,2,True,True,True,Pardis,750000000.0,25000.0
86,2,True,True,True,Pardis,600000000.0,20000.0
98,2,True,True,True,Pardis,570000000.0,19000.0
75,2,True,True,True,Pardis,60000000.0,2000.0
97,2,True,True,True,Pardis,900000000.0,30000.0
87,2,True,True,True,Pardis,650000000.0,21666.67
100,2,True,True,True,Pardis,500000000.0,16666.67
105,2,True,True,True,Pardis,514000000.0,17133.33
87,2,True,True,True,Pardis,726000000.0,24200.0
92,2,False,False,True,Pardis,550000000.0,18333.33
53,1,False,True,True,Pardis,470000000.0,15666.67
53,1,False,True,True,Pardis,540000000.0,18000.0
105,2,True,True,True,Pardis,535000000.0,17833.33
110,2,True,True,True,Pardis,535000000.0,17833.33
121,3,True,True,True,Pardis,610000000.0,20333.33
105,2,True,True,True,Pardis,940000000.0,31333.33
87,2,True,True,True,Pardis,725000000.0,24166.67
97,2,True,True,True,Pardis,770000000.0,25666.67
105,2,True,True,True,Pardis,950000000.0,31666.67
121,3,True,True,True,Pardis,610000000.0,20333.33
110,2,True,True,True,Pardis,375000000.0,12500.0
105,2,True,True,True,Pardis,550000000.0,18333.33
105,2,True,True,True,Pardis,875000000.0,29166.67
100,2,True,True,True,Pardis,1100000000.0,36666.67
123,3,True,True,True,Pardis,500000000.0,16666.67
100,2,True,True,True,Pardis,500000000.0,16666.67
87,2,True,True,True,Pardis,500000000.0,16666.67
105,2,True,True,True,Pardis,890000000.0,29666.67
105,2,True,True,True,Pardis,800000000.0,26666.67
97,2,True,True,True,Pardis,760000000.0,25333.33
100,2,True,True,True,Pardis,790000000.0,26333.33
105,2,True,True,True,Pardis,860000000.0,28666.67
97,2,True,True,True,Pardis,760000000.0,25333.33
87,2,False,True,True,Pardis,500000000.0,16666.67
105,2,True,True,True,Pardis,539000000.0,17966.67
106,2,True,True,True,Pardis,800000000.0,26666.67
97,2,True,True,True,Pardis,770000000.0,25666.67
87,2,True,True,True,Pardis,890000000.0,29666.67
110,2,True,True,True,Pardis,535000000.0,17833.33
120,3,True,True,True,Pardis,670000000.0,22333.33
87,2,True,True,True,Pardis,550000000.0,18333.33
112,2,True,True,True,Pardis,480000000.0,16000.0
120,3,True,True,True,Pardis,650000000.0,21666.67
155,2,True,True,True,Pardis,1900000000.0,63333.33
87,2,False,False,True,Pardis,585000000.0,19500.0
106,2,True,True,True,Pardis,560000000.0,18666.67
105,2,True,True,True,Pardis,540000000.0,18000.0
87,2,False,False,True,Pardis,810000000.0,27000.0
104,2,True,True,True,Pardis,590000000.0,19666.67
105,2,True,True,True,Pardis,555000000.0,18500.0
105,2,True,True,True,Pardis,540000000.0,18000.0
105,2,True,True,True,Pardis,550000000.0,18333.33
100,2,False,False,False,Pardis,650000000.0,21666.67
105,2,True,True,True,Pardis,550000000.0,18333.33
86,2,True,True,True,Pardis,780000000.0,26000.0
87,2,True,True,True,Pardis,960000000.0,32000.0
120,2,True,True,False,Pardis,1800000000.0,60000.0
125,2,True,True,True,Pardis,2100000000.0,70000.0
87,2,True,True,True,Pardis,720000000.0,24000.0
85,2,True,True,True,Pardis,730000000.0,24333.33
105,2,True,True,True,Pardis,525000000.0,17500.0
105,2,True,True,True,Pardis,750000000.0,25000.0
85,2,True,False,True,Pardis,470000000.0,15666.67
87,2,True,True,True,Pardis,570000000.0,19000.0
97,2,True,True,True,Pardis,770000000.0,25666.67
106,2,True,True,True,Pardis,800000000.0,26666.67
105,2,True,True,True,Pardis,700000000.0,23333.33
98,2,True,True,True,Pardis,770000000.0,25666.67
87,2,True,True,True,Pardis,850000000.0,28333.33
105,2,True,True,True,Pardis,945000000.0,31500.0
100,2,True,True,True,Pardis,1050000000.0,35000.0
105,2,True,True,True,Pardis,890000000.0,29666.67
105,2,True,True,True,Pardis,710000000.0,23666.67
105,2,True,True,True,Pardis,500000000.0,16666.67
87,2,True,True,True,Pardis,530000000.0,17666.67
66,1,True,True,True,Pardis,720000000.0,24000.0
98,2,True,True,True,Pardis,1000000000.0,33333.33
87,2,True,True,True,Pardis,479000000.0,15966.67
87,2,True,True,True,Pardis,496000000.0,16533.33
85,2,True,True,True,Pardis,690000000.0,23000.0
86,2,True,True,True,Pardis,890000000.0,29666.67
87,2,False,False,False,Pardis,900000000.0,30000.0
87,2,True,True,True,Pardis,650000000.0,21666.67
86,2,True,True,True,Pardis,500000000.0,16666.67
86,2,True,True,True,Pardis,600000000.0,20000.0
100,2,True,True,False,Pardis,2700000000.0,90000.0
98,2,True,True,True,Pardis,770000000.0,25666.67
105,2,True,True,True,Pardis,760000000.0,25333.33
106,2,True,True,True,Pardis,505000000.0,16833.33
98,2,True,True,True,Pardis,790000000.0,26333.33
92,2,True,True,True,Pardis,565000000.0,18833.33
85,2,True,True,True,Pardis,650000000.0,21666.67
87,2,True,True,True,Pardis,680000000.0,22666.67
98,2,True,True,True,Pardis,910000000.0,30333.33
87,2,True,True,True,Pardis,658000000.0,21933.33
85,2,True,False,True,Pardis,730000000.0,24333.33
150,3,True,True,True,Pardis,3900000000.0,130000.0
98,2,True,True,True,Pardis,550000000.0,18333.33
79,2,True,True,True,Pardis,550000000.0,18333.33
98,2,True,True,True,Pardis,650000000.0,21666.67
71,1,False,True,True,Pardis,540000000.0,18000.0
