Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
180,3,True,True,True,Pasdaran,9900000000.0,330000.0
108,2,True,True,True,Pasdaran,9180000000.0,306000.0
200,3,True,True,True,Pasdaran,12000000000.0,400000.0
100,2,True,True,True,Pasdaran,8000000000.0,266666.67
153,3,True,True,True,Pasdaran,13000000000.0,433333.33
200,3,True,True,True,Pasdaran,17000000000.0,566666.67
113,2,True,True,True,Pasdaran,8500000000.0,283333.33
120,2,True,True,True,Pasdaran,7500000000.0,250000.0
120,2,True,True,True,Pasdaran,7500000000.0,250000.0
110,1,True,True,True,Pasdaran,6600000000.0,220000.0
135,3,True,True,True,Pasdaran,8100000000.0,270000.0
145,3,True,True,True,Pasdaran,15500000000.0,516666.67
98,2,True,True,True,Pasdaran,7800000000.0,260000.0
165,3,True,True,True,Pasdaran,10500000000.0,350000.0
200,3,True,True,True,Pasdaran,16580000000.0,552666.67
160,2,True,True,True,Pasdaran,16200000000.0,540000.0
96,2,True,True,True,Pasdaran,5600000000.0,186666.67
140,3,True,True,True,Pasdaran,11800000000.0,393333.33
180,3,True,True,True,Pasdaran,9900000000.0,330000.0
115,2,True,True,True,Pasdaran,11000000000.0,366666.67
200,3,True,True,True,Pasdaran,22000000000.0,733333.33
150,3,True,True,True,Pasdaran,13000000000.0,433333.33
130,3,True,True,True,Pasdaran,11100000000.0,370000.0
170,3,True,True,True,Pasdaran,10800000000.0,360000.0
162,3,True,True,True,Pasdaran,7600000000.0,253333.33
107,2,True,True,True,Pasdaran,9200000000.0,306666.67
100,2,True,True,True,Pasdaran,5500000000.0,183333.33
60,2,True,True,True,Pasdaran,3450000000.0,115000.0
62,2,True,True,False,Pasdaran,3400000000.0,113333.33
83,2,True,False,True,Pasdaran,5000000000.0,166666.67
175,3,True,True,True,Pasdaran,15500000000.0,516666.67
108,2,True,True,True,Pasdaran,7700000000.0,256666.67
92,2,True,True,True,Pasdaran,6700000000.0,223333.33
180,3,True,True,True,Pasdaran,9900000000.0,330000.0
67,2,True,True,True,Pasdaran,3500000000.0,116666.67
115,3,True,True,True,Pasdaran,5300000000.0,176666.67
144,3,True,True,False,Pasdaran,8000000000.0,266666.67
116,3,True,True,True,Pasdaran,8100000000.0,270000.0
179,3,True,True,True,Pasdaran,9645000000.0,321500.0
180,3,True,True,True,Pasdaran,9900000000.0,330000.0
185,3,True,True,True,Pasdaran,10750000000.0,358333.33
150,3,True,True,True,Pasdaran,11456000000.0,381866.67
140,2,True,True,True,Pasdaran,10500000000.0,350000.0
140,2,True,True,True,Pasdaran,10000000000.0,333333.33
145,3,True,True,True,Pasdaran,1450000000.0,48333.33
132,3,True,True,True,Pasdaran,9900000000.0,330000.0
185,3,True,True,True,Pasdaran,13000000000.0,433333.33
158,3,True,True,True,Pasdaran,11060000000.0,368666.67
155,3,True,True,True,Pasdaran,13175000000.0,439166.67
147,3,True,True,True,Pasdaran,8350000000.0,278333.33
100,2,True,True,True,Pasdaran,6000000000.0,200000.0
95,2,True,True,True,Pasdaran,5850000000.0,195000.0
86,2,True,True,True,Pasdaran,5400000000.0,180000.0
83,2,True,True,True,Pasdaran,4700000000.0,156666.67
57,1,True,True,True,Pasdaran,3700000000.0,123333.33
180,3,True,True,True,Pasdaran,13000000000.0,433333.33
136,3,True,True,True,Pasdaran,7300000000.0,243333.33
113,2,True,True,True,Pasdaran,8475000000.0,282500.0
70,1,True,True,True,Pasdaran,5100000000.0,170000.0
150,3,True,True,True,Pasdaran,9750000000.0,325000.0
130,2,True,True,True,Pasdaran,9500000000.0,316666.67
190,3,True,True,True,Pasdaran,12350000000.0,411666.67
110,2,True,True,True,Pasdaran,8800000000.0,293333.33
186,3,True,True,True,Pasdaran,9300000000.0,310000.0
