Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
61,1,True,True,False,Punak,2030000000.0,67666.67
61,1,True,True,False,Punak,2030000000.0,67666.67
67,2,True,True,True,Punak,2800000000.0,93333.33
72,2,True,True,False,Punak,2200000000.0,73333.33
63,1,True,True,False,Punak,2200000000.0,73333.33
75,2,True,True,False,Punak,2200000000.0,73333.33
63,1,True,True,True,Punak,2150000000.0,71666.67
63,1,True,True,True,Punak,2150000000.0,71666.67
67,1,True,True,True,Punak,2300000000.0,76666.67
71,2,True,True,True,Punak,2800000000.0,93333.33
70,2,True,True,True,Punak,3500000000.0,116666.67
90,2,True,True,True,Punak,3050000000.0,101666.67
144,3,True,True,True,Punak,7632000000.0,254400.0
60,1,True,True,True,Punak,1750000000.0,58333.33
100,2,True,True,True,Punak,6000000000.0,200000.0
128,3,True,True,True,Punak,5700000000.0,190000.0
115,3,True,True,True,Punak,4500000000.0,150000.0
113,2,True,True,True,Punak,4300000000.0,143333.33
85,2,True,True,True,Punak,3380000000.0,112666.67
63,1,True,False,False,Punak,2200000000.0,73333.33
130,3,True,True,True,Punak,6240000000.0,208000.0
91,2,True,True,True,Punak,3350000000.0,111666.67
65,1,True,True,True,Punak,2900000000.0,96666.67
86,2,True,True,True,Punak,3700000000.0,123333.33
74,1,True,True,True,Punak,3250000000.0,108333.33
140,3,True,True,True,Punak,7700000000.0,256666.67
82,2,True,True,True,Punak,4018000000.0,133933.33
167,3,True,True,True,Punak,10688000000.0,356266.67
91,2,True,True,True,Punak,3230000000.0,107666.67
58,1,True,True,True,Punak,2650000000.0,88333.33
90,2,True,True,True,Punak,4200000000.0,140000.0
48,1,True,True,True,Punak,2250000000.0,75000.0
70,2,True,True,True,Punak,2800000000.0,93333.33
86,2,True,True,True,Punak,4200000000.0,140000.0
65,2,True,True,True,Punak,2350000000.0,78333.33
95,2,True,True,True,Punak,4200000000.0,140000.0
58,1,True,True,False,Punak,1900000000.0,63333.33
66,1,True,True,True,Punak,3300000000.0,110000.0
113,2,True,True,True,Punak,6500000000.0,216666.67
95,2,True,True,True,Punak,6700000000.0,223333.33
97,2,True,True,True,Punak,4700000000.0,156666.67
78,2,True,True,False,Punak,2730000000.0,91000.0
57,1,True,True,True,Punak,2000000000.0,66666.67
125,3,True,True,True,Punak,6300000000.0,210000.0
62,2,True,True,True,Punak,2100000000.0,70000.0
145,3,True,True,True,Punak,7600000000.0,253333.33
115,3,True,True,True,Punak,5000000000.0,166666.67
145,3,True,True,True,Punak,4300000000.0,143333.33
136,3,True,True,True,Punak,7550000000.0,251666.67
145,3,True,True,True,Punak,8990000000.0,299666.67
140,3,True,True,True,Punak,6200000000.0,206666.67
70,2,True,True,True,Punak,2580000000.0,86000.0
142,3,True,True,True,Punak,7550000000.0,251666.67
125,3,True,True,True,Punak,6300000000.0,210000.0
