Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
166,3,True,True,True,Qalandari,12500000000.0,416666.67
145,3,True,True,True,Qalandari,13000000000.0,433333.33
135,3,True,True,True,Qalandari,7500000000.0,250000.0
80,2,True,False,True,Qalandari,4700000000.0,156666.67
95,2,True,True,True,Qalandari,6250000000.0,208333.33
85,2,True,True,True,Qalandari,4500000000.0,150000.0
110,2,True,True,True,Qalandari,8100000000.0,270000.0
90,2,True,True,True,Qalandari,6560000000.0,218666.67
130,2,True,True,True,Qalandari,8500000000.0,283333.33
66,2,True,True,True,Qalandari,4250000000.0,141666.67
