Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
100,2,True,True,True,Qasr-od-Dasht,3000000000.0,100000.0
78,2,True,True,True,Qasr-od-Dasht,2000000000.0,66666.67
100,2,True,True,True,Qasr-od-Dasht,3250000000.0,108333.33
62,1,False,True,False,Qasr-od-Dasht,950000000.0,31666.67
62,1,False,True,False,Qasr-od-Dasht,1100000000.0,36666.67
135,3,True,True,True,Qasr-od-Dasht,2950000000.0,98333.33
45,1,True,True,True,Qasr-od-Dasht,1300000000.0,43333.33
57,1,True,True,True,Qasr-od-Dasht,1200000000.0,40000.0
65,2,True,False,True,Qasr-od-Dasht,2050000000.0,68333.33
50,1,False,True,False,Qasr-od-Dasht,810000000.0,27000.0
72,2,True,True,False,Qasr-od-Dasht,1615000000.0,53833.33
134,3,True,True,True,Qasr-od-Dasht,2950000000.0,98333.33
40,1,False,True,False,Qasr-od-Dasht,720000000.0,24000.0
63,2,False,True,False,Qasr-od-Dasht,1260000000.0,42000.0
44,1,False,True,False,Qasr-od-Dasht,770000000.0,25666.67
61,1,False,True,False,Qasr-od-Dasht,838000000.0,27933.33
65,2,True,True,False,Qasr-od-Dasht,1280000000.0,42666.67
62,1,False,False,False,Qasr-od-Dasht,1860000000.0,62000.0
60,2,False,True,True,Qasr-od-Dasht,1850000000.0,61666.67
47,1,False,True,False,Qasr-od-Dasht,870000000.0,29000.0
58,2,False,True,True,Qasr-od-Dasht,1270000000.0,42333.33
60,1,True,True,True,Qasr-od-Dasht,1985000000.0,66166.67
59,1,True,True,True,Qasr-od-Dasht,1150000000.0,38333.33
35,1,True,True,False,Qasr-od-Dasht,990000000.0,33000.0
47,1,False,True,False,Qasr-od-Dasht,800000000.0,26666.67
40,1,False,True,False,Qasr-od-Dasht,790000000.0,26333.33
44,1,False,True,False,Qasr-od-Dasht,1000000000.0,33333.33
80,2,True,True,True,Qasr-od-Dasht,1800000000.0,60000.0
