Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
140,3,True,True,True,Rudhen,4000000000.0,133333.33
93,2,True,True,True,Rudhen,1450000000.0,48333.33
133,3,True,True,True,Rudhen,2260000000.0,75333.33
132,2,True,True,True,Rudhen,2244000000.0,74800.0
113,2,True,True,True,Rudhen,1550000000.0,51666.67
75,2,True,True,True,Rudhen,1000000000.0,33333.33
80,2,True,True,False,Rudhen,750000000.0,25000.0
117,2,False,True,True,Rudhen,1580000000.0,52666.67
105,2,True,True,False,Rudhen,1100000000.0,36666.67
135,2,True,True,False,Rudhen,3500000000.0,116666.67
200,2,False,False,False,Rudhen,2850000000.0,95000.0
