Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
123,2,True,True,True,Shahrake Gharb,7000000000.0,233333.33
93,2,True,True,True,Shahrake Gharb,7000000000.0,233333.33
113,3,True,True,False,Shahrake Gharb,7000000000.0,233333.33
125,2,True,True,True,Shahrake Gharb,21500000000.0,716666.67
140,2,True,True,True,Shahrake Gharb,12600000000.0,420000.0
175,3,True,True,True,Shahrake Gharb,22750000000.0,758333.33
145,2,True,True,True,Shahrake Gharb,14700000000.0,490000.0
162,3,True,True,True,Shahrake Gharb,12150000000.0,405000.0
96,2,True,True,True,Shahrake Gharb,4800000000.0,160000.0
140,2,True,True,True,Shahrake Gharb,12600000000.0,420000.0
165,3,True,True,True,Shahrake Gharb,14800000000.0,493333.33
115,2,True,True,True,Shahrake Gharb,13000000000.0,433333.33
157,3,True,True,True,Shahrake Gharb,18500000000.0,616666.67
155,3,True,True,True,Shahrake Gharb,10000000000.0,333333.33
175,3,True,True,True,Shahrake Gharb,9300000000.0,310000.0
130,3,True,True,True,Shahrake Gharb,8450000000.0,281666.67
155,3,True,True,True,Shahrake Gharb,9300000000.0,310000.0
160,3,True,True,True,Shahrake Gharb,12500000000.0,416666.67
155,3,True,True,True,Shahrake Gharb,10000000000.0,333333.33
165,3,True,True,True,Shahrake Gharb,12400000000.0,413333.33
125,2,True,True,True,Shahrake Gharb,9750000000.0,325000.0
150,3,True,True,True,Shahrake Gharb,12000000000.0,400000.0
140,3,True,True,True,Shahrake Gharb,9200000000.0,306666.67
120,2,True,True,True,Shahrake Gharb,7500000000.0,250000.0
140,3,True,True,True,Shahrake Gharb,10000000000.0,333333.33
97,2,True,True,True,Shahrake Gharb,7500000000.0,250000.0
130,3,True,True,True,Shahrake Gharb,14300000000.0,476666.67
135,3,True,True,True,Shahrake Gharb,9000000000.0,300000.0
102,2,True,True,True,Shahrake Gharb,9898000000.0,329933.33
116,2,True,True,True,Shahrake Gharb,9860000000.0,328666.67
140,3,True,True,True,Shahrake Gharb,11200000000.0,373333.33
195,3,True,True,True,Shahrake Gharb,19500000000.0,650000.0
155,3,True,True,True,Shahrake Gharb,9000000000.0,300000.0
145,3,True,True,True,Shahrake Gharb,11000000000.0,366666.67
117,3,True,True,True,Shahrake Gharb,6800000000.0,226666.67
115,3,True,True,True,Shahrake Gharb,6500000000.0,216666.67
58,1,True,True,True,Shahrake Gharb,3400000000.0,113333.33
95,2,True,True,True,Shahrake Gharb,5100000000.0,170000.0
101,2,True,True,True,Shahrake Gharb,6565000000.0,218833.33
150,3,True,True,True,Shahrake Gharb,12350000000.0,411666.67
88,2,True,True,True,Shahrake Gharb,5250000000.0,175000.0
117,2,True,True,True,Shahrake Gharb,10600000000.0,353333.33
120,2,True,True,True,Shahrake Gharb,9800000000.0,326666.67
180,5,True,True,False,Shahrake Gharb,28800000000.0,960000.0
200,3,True,True,True,Shahrake Gharb,14000000000.0,466666.67
68,1,True,True,True,Shahrake Gharb,5000000000.0,166666.67
97,2,True,True,True,Shahrake Gharb,5600000000.0,186666.67
118,2,True,True,True,Shahrake Gharb,10300000000.0,343333.33
117,2,True,True,True,Shahrake Gharb,7200000000.0,240000.0
73,1,True,True,False,Shahrake Gharb,7500000000.0,250000.0
165,3,True,True,True,Shahrake Gharb,18150000000.0,605000.0
145,3,True,True,True,Shahrake Gharb,10500000000.0,350000.0
125,3,True,True,True,Shahrake Gharb,11250000000.0,375000.0
115,2,True,True,True,Shahrake Gharb,12000000000.0,400000.0
133,3,True,False,True,Shahrake Gharb,10000000000.0,333333.33
