Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
95,2,True,True,True,Shahrake Qods,902500000.0,30083.33
150,2,False,True,True,Shahrake Qods,1200000000.0,40000.0
100,2,False,False,False,Shahrake Qods,620000000.0,20666.67
75,1,True,True,True,Shahrake Qods,650000000.0,21666.67
40,0,False,False,False,Shahrake Qods,248000000.0,8266.67
50,1,False,True,False,Shahrake Qods,340000000.0,11333.33
81,2,True,True,True,Shahrake Qods,810000000.0,27000.0
120,2,True,True,True,Shahrake Qods,1050000000.0,35000.0
93,2,True,True,True,Shahrake Qods,1181100000.0,39370.0
84,2,True,True,True,Shahrake Qods,1150800000.0,38360.0
92,2,False,True,True,Shahrake Qods,1012000000.0,33733.33
105,2,True,True,True,Shahrake Qods,1365000000.0,45500.0
151,3,True,True,True,Shahrake Qods,1510000000.0,50333.33
78,2,False,True,False,Shahrake Qods,580000000.0,19333.33
80,1,False,True,False,Shahrake Qods,560000000.0,18666.67
70,1,True,True,False,Shahrake Qods,870000000.0,29000.0
75,2,False,True,True,Shahrake Qods,620000000.0,20666.67
100,2,True,True,True,Shahrake Qods,800000000.0,26666.67
75,2,True,True,True,Shahrake Qods,735000000.0,24500.0
90,2,False,True,False,Shahrake Qods,665000000.0,22166.67
88,2,False,True,True,Shahrake Qods,760000000.0,25333.33
89,2,True,True,True,Shahrake Qods,1610000000.0,53666.67
80,2,False,True,False,Shahrake Qods,1200000000.0,40000.0
90,2,True,True,True,Shahrake Qods,990000000.0,33000.0
80,1,False,True,False,Shahrake Qods,560000000.0,18666.67
70,2,True,True,True,Shahrake Qods,735000000.0,24500.0
125,2,True,True,True,Shahrake Qods,1030000000.0,34333.33
53,1,False,False,False,Shahrake Qods,395000000.0,13166.67
120,2,True,True,True,Shahrake Qods,1050000000.0,35000.0
87,2,True,True,True,Shahrake Qods,960000000.0,32000.0
62,1,True,True,True,Shahrake Qods,510000000.0,17000.0
84,2,True,True,True,Shahrake Qods,982000000.0,32733.33
76,2,True,True,True,Shahrake Qods,870000000.0,29000.0
115,3,False,True,True,Shahrake Qods,1600000000.0,53333.33
100,2,True,True,True,Shahrake Qods,1700000000.0,56666.67
118,2,True,True,True,Shahrake Qods,960000000.0,32000.0
140,3,True,True,True,Shahrake Qods,2590000000.0,86333.33
88,2,True,True,True,Shahrake Qods,1135200000.0,37840.0
100,2,False,False,False,Shahrake Qods,650000000.0,21666.67
100,2,True,True,True,Shahrake Qods,1000000000.0,33333.33
90,2,True,True,True,Shahrake Qods,900000000.0,30000.0
65,1,True,True,True,Shahrake Qods,535000000.0,17833.33
80,2,True,True,True,Shahrake Qods,680000000.0,22666.67
94,2,True,True,True,Shahrake Qods,950000000.0,31666.67
50,1,True,True,False,Shahrake Qods,360000000.0,12000.0
90,2,True,True,True,Shahrake Qods,1260000000.0,42000.0
85,2,True,True,True,Shahrake Qods,1062000000.0,35400.0
60,1,False,True,True,Shahrake Qods,920000000.0,30666.67
50,1,False,False,False,Shahrake Qods,380000000.0,12666.67
125,2,True,True,True,Shahrake Qods,1375000000.0,45833.33
130,3,False,True,False,Shahrake Qods,600000000.0,20000.0
104,2,True,True,True,Shahrake Qods,900000000.0,30000.0
58,1,False,True,False,Shahrake Qods,400000000.0,13333.33
60,1,False,False,False,Shahrake Qods,430000000.0,14333.33
85,2,True,True,True,Shahrake Qods,670000000.0,22333.33
85,2,True,True,False,Shahrake Qods,640000000.0,21333.33
90,2,True,True,True,Shahrake Qods,980000000.0,32666.67
98,2,False,False,False,Shahrake Qods,830000000.0,27666.67
80,2,True,True,True,Shahrake Qods,880000000.0,29333.33
145,3,True,True,True,Shahrake Qods,1740000000.0,58000.0
145,3,True,True,True,Shahrake Qods,1740000000.0,58000.0
115,2,True,False,True,Shahrake Qods,950000000.0,31666.67
85,2,False,True,True,Shahrake Qods,850000000.0,28333.33
71,2,False,True,True,Shahrake Qods,525000000.0,17500.0
105,2,True,True,True,Shahrake Qods,920000000.0,30666.67
80,1,False,True,True,Shahrake Qods,580000000.0,19333.33
95,2,True,True,True,Shahrake Qods,930000000.0,31000.0
80,1,False,True,False,Shahrake Qods,550000000.0,18333.33
54,0,False,False,False,Shahrake Qods,470000000.0,15666.67
