Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
140,1,False,False,False,Shahryar,580000000.0,19333.33
85,2,True,True,True,Shahryar,1419000000.0,47300.0
120,2,True,True,False,Shahryar,1200000000.0,40000.0
50,1,True,True,False,Shahryar,500000000.0,16666.67
44,1,False,True,False,Shahryar,570000000.0,19000.0
80,2,True,True,True,Shahryar,850000000.0,28333.33
60,1,True,True,False,Shahryar,600000000.0,20000.0
96,3,True,False,True,Shahryar,1145000000.0,38166.67
102,2,True,True,True,Shahryar,1225000000.0,40833.33
127,2,True,True,True,Shahryar,2500000000.0,83333.33
80,2,False,True,True,Shahryar,410000000.0,13666.67
