Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
71,2,True,True,True,Si Metri Ji,1633000000.0,54433.33
80,2,True,True,True,Si Metri Ji,2220000000.0,74000.0
61,1,True,True,True,Si Metri Ji,1318000000.0,43933.33
85,2,False,True,True,Si Metri Ji,1440000000.0,48000.0
60,2,False,True,False,Si Metri Ji,650000000.0,21666.67
43,1,False,True,True,Si Metri Ji,750000000.0,25000.0
80,2,True,True,True,Si Metri Ji,1410000000.0,47000.0
41,1,True,True,False,Si Metri Ji,780000000.0,26000.0
82,2,True,True,True,Si Metri Ji,1600000000.0,53333.33
45,1,False,True,True,Si Metri Ji,890000000.0,29666.67
98,2,True,True,True,Si Metri Ji,1950000000.0,65000.0
98,2,True,True,True,Si Metri Ji,1950000000.0,65000.0
49,1,True,True,True,Si Metri Ji,900000000.0,30000.0
104,2,True,True,True,Si Metri Ji,1830000000.0,61000.0
79,2,False,True,True,Si Metri Ji,1400000000.0,46666.67
41,1,False,False,True,Si Metri Ji,790000000.0,26333.33
57,1,True,True,True,Si Metri Ji,990000000.0,33000.0
78,2,True,True,True,Si Metri Ji,1350000000.0,45000.0
76,2,False,True,True,Si Metri Ji,1350000000.0,45000.0
98,2,True,True,True,Si Metri Ji,1950000000.0,65000.0
97,2,True,False,True,Si Metri Ji,1900000000.0,63333.33
50,1,True,True,False,Si Metri Ji,810000000.0,27000.0
45,1,False,False,True,Si Metri Ji,8900000000.0,296666.67
