Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
110,2,True,True,True,Southern Janatabad,630000000.0,21000.0
127,2,True,True,True,Southern Janatabad,6000000000.0,200000.0
63,2,True,True,True,Southern Janatabad,2000000000.0,66666.67
65,1,True,True,True,Southern Janatabad,3000000000.0,100000.0
78,2,True,True,True,Southern Janatabad,3600000000.0,120000.0
95,2,True,True,True,Southern Janatabad,4400000000.0,146666.67
60,1,True,True,True,Southern Janatabad,1950000000.0,65000.0
65,1,False,True,True,Southern Janatabad,2000000000.0,66666.67
60,1,True,True,False,Southern Janatabad,2280000000.0,76000.0
63,2,True,True,True,Southern Janatabad,2000000000.0,66666.67
70,2,True,True,True,Southern Janatabad,1950000000.0,65000.0
62,1,True,True,True,Southern Janatabad,2280000000.0,76000.0
59,2,True,True,True,Southern Janatabad,1900000000.0,63333.33
63,2,True,True,True,Southern Janatabad,2000000000.0,66666.67
60,2,True,True,True,Southern Janatabad,2200000000.0,73333.33
70,2,True,True,True,Southern Janatabad,2500000000.0,83333.33
60,1,True,True,True,Southern Janatabad,2200000000.0,73333.33
65,1,True,True,True,Southern Janatabad,2000000000.0,66666.67
60,1,True,True,True,Southern Janatabad,2250000000.0,75000.0
60,1,True,True,True,Southern Janatabad,2250000000.0,75000.0
86,2,True,True,True,Southern Janatabad,3600000000.0,120000.0
100,2,True,True,False,Southern Janatabad,3800000000.0,126666.67
86,2,True,True,True,Southern Janatabad,3270000000.0,109000.0
70,2,True,True,True,Southern Janatabad,3370000000.0,112333.33
91,2,True,True,True,Southern Janatabad,4500000000.0,150000.0
67,1,True,True,True,Southern Janatabad,3450000000.0,115000.0
105,2,True,True,True,Southern Janatabad,5300000000.0,176666.67
86,2,True,True,True,Southern Janatabad,3200000000.0,106666.67
72,2,True,True,True,Southern Janatabad,3150000000.0,105000.0
70,2,True,True,True,Southern Janatabad,2950000000.0,98333.33
51,1,True,True,False,Southern Janatabad,1720000000.0,57333.33
120,3,True,True,True,Southern Janatabad,5000000000.0,166666.67
70,2,True,True,True,Southern Janatabad,2400000000.0,80000.0
125,2,True,True,True,Southern Janatabad,6625000000.0,220833.33
78,2,True,True,True,Southern Janatabad,2920000000.0,97333.33
80,2,True,True,True,Southern Janatabad,3500000000.0,116666.67
66,2,True,True,True,Southern Janatabad,1800000000.0,60000.0
86,2,True,True,True,Southern Janatabad,4500000000.0,150000.0
70,2,True,True,True,Southern Janatabad,2000000000.0,66666.67
65,2,True,True,True,Southern Janatabad,2700000000.0,90000.0
64,2,True,True,True,Southern Janatabad,2100000000.0,70000.0
62,2,True,True,True,Southern Janatabad,2200000000.0,73333.33
