Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
65,2,True,True,True,Southern Program Organization,2270000000.0,75666.67
120,2,True,True,True,Southern Program Organization,4260000000.0,142000.0
68,1,True,True,True,Southern Program Organization,2630000000.0,87666.67
94,2,True,True,False,Southern Program Organization,3200000000.0,106666.67
50,1,True,True,True,Southern Program Organization,1980000000.0,66000.0
62,1,True,True,True,Southern Program Organization,2400000000.0,80000.0
57,1,True,True,True,Southern Program Organization,2750000000.0,91666.67
120,2,True,True,True,Southern Program Organization,4250000000.0,141666.67
62,1,True,True,True,Southern Program Organization,2170000000.0,72333.33
76,2,True,True,True,Southern Program Organization,3150000000.0,105000.0
80,2,True,True,True,Southern Program Organization,3680000000.0,122666.67
70,2,True,True,True,Southern Program Organization,2500000000.0,83333.33
95,2,True,True,True,Southern Program Organization,4300000000.0,143333.33
52,1,True,True,True,Southern Program Organization,2750000000.0,91666.67
60,1,True,True,True,Southern Program Organization,2400000000.0,80000.0
110,2,True,True,False,Southern Program Organization,3580000000.0,119333.33
57,1,True,True,True,Southern Program Organization,2400000000.0,80000.0
68,2,True,True,True,Southern Program Organization,2700000000.0,90000.0
70,2,True,True,True,Southern Program Organization,2250000000.0,75000.0
66,2,True,True,False,Southern Program Organization,2000000000.0,66666.67
65,1,True,True,True,Southern Program Organization,2450000000.0,81666.67
58,1,True,True,True,Southern Program Organization,2500000000.0,83333.33
55,1,True,True,False,Southern Program Organization,2050000000.0,68333.33
