Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
135,3,True,True,True,Tenant,4050000000.0,135000.0
70,2,True,True,True,Tenant,2030000000.0,67666.67
97,2,True,False,True,Tenant,2330000000.0,77666.67
51,1,True,True,True,Tenant,1380000000.0,46000.0
40,1,False,True,False,Tenant,1050000000.0,35000.0
63,1,False,False,True,Tenant,1350000000.0,45000.0
90,2,True,True,True,Tenant,3150000000.0,105000.0
50,1,False,False,True,Tenant,1250000000.0,41666.67
53,1,False,True,False,Tenant,1113000000.0,37100.0
63,2,True,False,True,Tenant,1890000000.0,63000.0
96,2,True,True,True,Tenant,2400000000.0,80000.0
90,2,True,True,True,Tenant,2300000000.0,76666.67
120,3,True,True,True,Tenant,3240000000.0,108000.0
100,2,True,True,True,Tenant,2600000000.0,86666.67
43,1,True,True,True,Tenant,1200000000.0,40000.0
79,2,True,True,True,Tenant,2930000000.0,97666.67
50,1,False,False,True,Tenant,1200000000.0,40000.0
60,1,False,True,False,Tenant,1120000000.0,37333.33
55,1,False,False,False,Tenant,1420000000.0,47333.33
55,1,False,True,False,Tenant,1155000000.0,38500.0
60,1,True,True,False,Tenant,1400000000.0,46666.67
53,2,False,False,False,Tenant,1100000000.0,36666.67
55,1,False,True,True,Tenant,1400000000.0,46666.67
