Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
71,1,True,True,True,West Ferdows Boulevard,2370000000.0,79000.0
68,2,True,True,True,West Ferdows Boulevard,2450000000.0,81666.67
140,3,True,True,True,West Ferdows Boulevard,6400000000.0,213333.33
100,2,True,True,True,West Ferdows Boulevard,3200000000.0,106666.67
49,1,True,True,True,West Ferdows Boulevard,2200000000.0,73333.33
68,2,True,True,True,West Ferdows Boulevard,2500000000.0,83333.33
55,1,True,True,True,West Ferdows Boulevard,2150000000.0,71666.67
110,2,True,True,True,West Ferdows Boulevard,3750000000.0,125000.0
129,2,True,True,True,West Ferdows Boulevard,5250000000.0,175000.0
109,2,True,True,True,West Ferdows Boulevard,4830000000.0,161000.0
60,1,True,True,True,West Ferdows Boulevard,2450000000.0,81666.67
110,2,True,True,True,West Ferdows Boulevard,3730000000.0,124333.33
60,2,True,True,False,West Ferdows Boulevard,2000000000.0,66666.67
55,1,False,True,False,West Ferdows Boulevard,1550000000.0,51666.67
103,3,True,True,True,West Ferdows Boulevard,3200000000.0,106666.67
48,1,True,True,True,West Ferdows Boulevard,1920000000.0,64000.0
70,2,True,True,False,West Ferdows Boulevard,2120000000.0,70666.67
65,1,True,True,False,West Ferdows Boulevard,1930000000.0,64333.33
55,1,True,True,True,West Ferdows Boulevard,1850000000.0,61666.67
82,2,True,True,True,West Ferdows Boulevard,3450000000.0,115000.0
55,1,False,True,False,West Ferdows Boulevard,1550000000.0,51666.67
65,1,True,True,True,West Ferdows Boulevard,3900000000.0,130000.0
49,1,True,True,True,West Ferdows Boulevard,2200000000.0,73333.33
55,1,True,True,True,West Ferdows Boulevard,2200000000.0,73333.33
53,1,False,True,False,West Ferdows Boulevard,1640000000.0,54666.67
51,1,False,True,False,West Ferdows Boulevard,1550000000.0,51666.67
54,1,True,True,False,West Ferdows Boulevard,2130000000.0,71000.0
75,2,True,True,True,West Ferdows Boulevard,2800000000.0,93333.33
98,2,True,True,True,West Ferdows Boulevard,4520000000.0,150666.67
101,2,True,True,True,West Ferdows Boulevard,3700000000.0,123333.33
68,2,True,True,True,West Ferdows Boulevard,2200000000.0,73333.33
68,1,True,True,True,West Ferdows Boulevard,3570000000.0,119000.0
67,2,True,True,True,West Ferdows Boulevard,2200000000.0,73333.33
98,2,True,True,False,West Ferdows Boulevard,3750000000.0,125000.0
62,2,True,True,True,West Ferdows Boulevard,2750000000.0,91666.67
60,1,True,True,True,West Ferdows Boulevard,2450000000.0,81666.67
58,1,True,True,True,West Ferdows Boulevard,2050000000.0,68333.33
75,2,True,True,False,West Ferdows Boulevard,1950000000.0,65000.0
95,2,True,True,True,West Ferdows Boulevard,4200000000.0,140000.0
76,2,True,True,False,West Ferdows Boulevard,2400000000.0,80000.0
78,2,True,True,True,West Ferdows Boulevard,2650000000.0,88333.33
68,1,True,True,False,West Ferdows Boulevard,1950000000.0,65000.0
48,1,True,True,False,West Ferdows Boulevard,1900000000.0,63333.33
75,2,True,True,False,West Ferdows Boulevard,2450000000.0,81666.67
50,1,True,True,True,West Ferdows Boulevard,1900000000.0,63333.33
57,1,True,True,True,West Ferdows Boulevard,2300000000.0,76666.67
72,2,True,True,False,West Ferdows Boulevard,2300000000.0,76666.67
50,1,True,True,True,West Ferdows Boulevard,1950000000.0,65000.0
85,2,True,True,True,West Ferdows Boulevard,3450000000.0,115000.0
72,2,True,True,True,West Ferdows Boulevard,2500000000.0,83333.33
100,2,True,True,True,West Ferdows Boulevard,3450000000.0,115000.0
50,1,True,True,True,West Ferdows Boulevard,1950000000.0,65000.0
50,1,True,True,True,West Ferdows Boulevard,1950000000.0,65000.0
55,1,True,True,False,West Ferdows Boulevard,1950000000.0,65000.0
67,2,True,False,False,West Ferdows Boulevard,2200000000.0,73333.33
70,1,True,True,True,West Ferdows Boulevard,2400000000.0,80000.0
95,2,True,True,True,West Ferdows Boulevard,3300000000.0,110000.0
65,2,True,True,True,West Ferdows Boulevard,2380000000.0,79333.33
55,1,False,False,False,West Ferdows Boulevard,1900000000.0,63333.33
82,2,True,True,True,West Ferdows Boulevard,3500000000.0,116666.67
98,2,True,True,True,West Ferdows Boulevard,4400000000.0,146666.67
87,2,True,True,True,West Ferdows Boulevard,2830000000.0,94333.33
79,2,True,True,True,West Ferdows Boulevard,2400000000.0,80000.0
79,2,True,True,True,West Ferdows Boulevard,3100000000.0,103333.33
110,2,True,True,True,West Ferdows Boulevard,3950000000.0,131666.67
87,2,True,True,True,West Ferdows Boulevard,3800000000.0,126666.67
108,2,True,True,True,West Ferdows Boulevard,3950000000.0,131666.67
108,2,True,True,True,West Ferdows Boulevard,5616000000.0,187200.0
110,2,True,True,True,West Ferdows Boulevard,3750000000.0,125000.0
155,3,True,True,True,West Ferdows Boulevard,5000000000.0,166666.67
108,2,True,True,True,West Ferdows Boulevard,3450000000.0,115000.0
65,2,True,True,True,West Ferdows Boulevard,2760000000.0,92000.0
149,3,True,True,True,West Ferdows Boulevard,8642000000.0,288066.67
60,1,True,True,True,West Ferdows Boulevard,3300000000.0,110000.0
83,2,True,True,False,West Ferdows Boulevard,2400000000.0,80000.0
88,2,True,True,True,West Ferdows Boulevard,3100000000.0,103333.33
68,2,True,True,True,West Ferdows Boulevard,2300000000.0,76666.67
68,2,True,True,True,West Ferdows Boulevard,2200000000.0,73333.33
116,2,True,True,True,West Ferdows Boulevard,5050000000.0,168333.33
120,2,True,True,True,West Ferdows Boulevard,5000000000.0,166666.67
65,2,True,True,False,West Ferdows Boulevard,2250000000.0,75000.0
106,2,True,True,True,West Ferdows Boulevard,3900000000.0,130000.0
56,1,True,True,True,West Ferdows Boulevard,2250000000.0,75000.0
