Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
150,3,True,True,True,Zaferanieh,10490000000.0,349666.67
135,2,True,True,True,Zaferanieh,17500000000.0,583333.33
135,3,True,True,True,Zaferanieh,11800000000.0,393333.33
137,3,True,True,True,Zaferanieh,10000000000.0,333333.33
145,2,True,True,True,Zaferanieh,11000000000.0,366666.67
170,2,True,True,True,Zaferanieh,32000000000.0,1066666.67
157,3,True,True,True,Zaferanieh,14800000000.0,493333.33
170,3,True,True,True,Zaferanieh,19000000000.0,633333.33
145,3,True,True,True,Zaferanieh,11000000000.0,366666.67
90,2,True,True,True,Zaferanieh,6700000000.0,223333.33
138,2,True,True,True,Zaferanieh,17250000000.0,575000.0
200,3,True,True,True,Zaferanieh,24000000000.0,800000.0
190,3,True,True,True,Zaferanieh,13000000000.0,433333.33
150,2,True,True,True,Zaferanieh,15000000000.0,500000.0
115,2,True,True,True,Zaferanieh,10200000000.0,340000.0
135,2,True,True,True,Zaferanieh,18000000000.0,600000.0
115,2,True,True,True,Zaferanieh,18000000000.0,600000.0
